 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, Mean SD Est, StdDev Mean SD Est
262,27.478,6.725829,2.875,1.7691667,0.14728618
263,31.034702,8.041041,3.2857144,1.752381,0.16042466
264,30.50862,7.9689975,3.2857144,1.8095239,0.13487662
265,35.30113,12.397206,3.8333333,2.0022223,0.15512846
266,34.514973,12.437336,3.8333333,2.0244446,0.16059415
267,33.86777,12.593907,3.8333333,2.0244446,0.16059415
268,39.991463,17.782537,4.6,2.2034287,0.28902453
269,39.379955,18.18044,4.6,2.2495239,0.23841879
270,38.630447,18.352976,4.6,2.2495239,0.23841879
271,38.161106,18.468903,4.6,2.3135238,0.22232342
272,37.96279,18.625263,4.6,2.4255242,0.22086506
273,34.221336,15.674147,4.4,2.3641906,0.21186414
274,32.71221,13.712494,4.2,2.3564446,0.1659253
275,32.461754,14.051079,4.2,2.3626666,0.12455088
276,32.579865,11.927288,3.8333333,2.1044445,0.2157339
277,32.35894,12.002915,3.8333333,2.1433332,0.1784274
278,32.536053,11.933643,3.8333333,2.1433332,0.1784274
279,32.771786,11.760417,3.8333333,2.1588888,0.17552592
280,32.99119,11.455813,3.8333333,2.1833332,0.21880275
281,33.22416,11.273452,3.8333333,2.1988888,0.21590127
282,33.518456,11.129912,3.8333333,2.181111,0.23797512
283,31.920767,10.921828,3.6666667,2.0922222,0.20379071
284,32.320602,10.800542,3.6666667,2.0755556,0.18126081
285,32.736767,9.246272,3.4285715,1.8647621,0.21250926
286,32.729282,9.154166,3.4285715,1.8885715,0.15130438
287,32.910275,9.20739,3.4285715,1.8822223,0.16297458
288,33.40372,9.238249,3.4285715,1.8980953,0.12107948
289,33.836967,9.359168,3.4285715,1.8980953,0.12107948
290,34.448967,9.671553,3.4285715,1.8980953,0.12107948
291,35.06177,10.028862,3.4285715,1.8171428,0.13485095
292,35.699287,10.277211,3.4285715,1.7736509,0.11151074
293,32.120613,9.174205,3,1.6808333,0.14856604
294,32.39707,9.091802,3,1.5975,0.07785535
295,34.548874,11.465884,3.142857,1.572381,0.15799963
296,35.09153,11.684119,3.142857,1.5228571,0.116478816
297,41.421047,14.1885805,3.6666667,1.5248147,0.14305848
298,41.77669,14.347507,3.6666667,1.5322223,0.14203852
299,39.400917,12.53025,3.5,1.6007408,0.14751875
300,39.72581,12.610371,3.5,1.5674073,0.17315204
301,40.787983,15.182228,3.8,1.6844444,0.24785247
302,40.85271,15.206159,3.8,1.7342222,0.22892407
303,39.912827,12.676709,3.5,1.5451851,0.25743672
304,32.98992,8.036405,3,1.5206349,0.15713488
305,32.94213,7.8575616,3,1.5111111,0.13287959
306,32.719833,8.972113,3.1666667,1.611111,0.16186719
307,32.670113,8.954055,3.1666667,1.6592592,0.18098241
308,26.832315,5.2994323,2.7142856,1.6,0.08081221
309,25.426962,5.990732,2.8333333,1.7222222,0.07856742
310,25.503916,5.8169975,2.8333333,1.6999999,0.094280906
311,25.551188,5.990171,2.8333333,1.6999999,0.094280906
312,25.823614,6.2199244,2.8333333,1.6999999,0.094280906
313,26.279036,6.4780846,2.8333333,1.6999999,0.094280906
314,27.969784,5.8367357,2.7142856,1.5428572,0.13795507
315,28.766283,5.326526,2.625,1.475,0.120710686
316,28.26008,5.6267047,2.625,1.5250001,0.07071068
317,25.447783,3.7776225,2.5,1.5,0.08535534
318,24.757639,3.926183,2.5,1.45,0.03535534
319,24.079418,4.049969,2.5,1.45,0.03535534
320,23.45473,4.279998,2.5,1.45,0.03535534
321,25.222536,6.336546,2.625,1.4416666,0.045561545
322,25.104477,6.3932433,2.625,1.4916667,0.06597397
323,25.348148,6.6054416,2.625,1.4291667,0.09392482
324,25.489668,6.709199,2.625,1.4083333,0.09659259
325,25.909702,6.77755,2.625,1.3541667,0.11751279
326,26.677002,6.837993,2.625,1.3291667,0.07847397
327,27.70269,6.903741,2.625,1.3291667,0.07847397
328,30.457205,10.755216,2.75,1.3708334,0.1209658
329,31.598507,10.824871,2.75,1.3625,0.12998141
330,31.179768,6.875232,2.625,1.3,0.11035535
331,30.56008,4.1219473,2.4444444,1.1555555,0.11111113
332,31.88585,6.3383956,2.4444444,1.1518519,0.053013742
333,35.740353,8.324169,2.75,1.2875,0.12273916
334,36.342327,7.556111,2.6666667,1.2444445,0.12952061
335,37.32173,9.803268,2.75,1.3583333,0.16928093
336,40.64009,9.846557,3.3333333,1.338889,0.10495468
337,36.55566,7.432885,2.857143,1.347619,0.1111962
338,33.02012,4.2321115,2.7142856,1.3190477,0.12793295
339,32.58848,4.0662546,2.7142856,1.2809525,0.068829805
340,32.309425,4.022097,2.7142856,1.3114287,0.04857144
341,32.183605,3.9648476,2.7142856,1.3114287,0.04857144
342,31.588232,4.596691,2.8333333,1.3633333,0.056666683
343,32.294262,4.6173115,2.8333333,1.4577779,0.09931711
344,31.050009,3.9720278,2.6666667,1.4055557,0.109543264
345,31.81721,4.0226216,2.6666667,1.35,0.06818678
346,32.76363,4.1640244,2.6666667,1.3888888,0.04444446
347,33.670757,5.2567635,2.8,1.4666666,0.053333353
348,28.22496,2.5339148,2.3333333,1.2722223,0.16111113
349,38.213448,8.035364,3,1.4146668,0.11089623
350,58.691875,36.77146,3.6,1.3433334,0.23179407
351,58.763542,36.760216,3.6,1.3866667,0.17388976
352,58.933754,36.6408,3.6,1.3866667,0.17388976
353,64.642815,48.526684,4,1.4133333,0.21160214
354,62.017097,41.593002,3.8,1.5866667,0.3104583
355,63.66502,42.414402,3.6,1.4952381,0.23511016
356,63.333607,41.77452,3.6,1.4952381,0.23511016
357,63.054096,41.177994,3.6,1.4952381,0.23511016
358,37.691723,12.165626,3.2,1.72,0.30812353
359,43.99079,15.164036,4,1.8444444,0.32194147
360,43.089027,14.765389,4,1.8888888,0.2814118
361,42.255684,14.4539175,4,1.9888889,0.19976214
362,41.527943,14.277758,4,2.013889,0.21069369
363,38.793156,9.531069,3.3333333,1.5203705,0.3122858
364,42.02096,13.481156,3.6666667,1.7259259,0.23953126
365,39.37951,11.202559,3.5,1.9222223,0.20495588
366,38.665806,10.882459,3.5,1.9355556,0.1989562
367,36.439205,9.910897,3.3333333,1.7388889,0.1297289
368,36.139774,11.21038,3.3333333,1.6962963,0.14465673
369,35.19083,11.09114,3.3333333,1.7037035,0.13038015
370,34.17989,11.251785,3.3333333,1.7518517,0.15189703
371,33.298443,11.419811,3.3333333,1.7518517,0.15918969
372,29.5473,9.045576,2.857143,1.7047619,0.07539882
373,28.890299,9.234667,2.857143,1.6857144,0.08886751
374,26.369556,8.127791,2.7142856,1.6380953,0.10774962
375,36.320217,13.022842,3.5,1.652381,0.14285356
376,36.660492,12.556836,3.5,1.7095238,0.08147904
377,37.045727,12.026176,3.5,1.7095238,0.08147904
378,37.6098,11.667687,3.5,1.7190477,0.0714215
379,31.688725,11.277593,3.142857,1.8380953,0.111905284
380,32.248466,9.124497,3,1.7333335,0.14659259
381,33.960476,11.180509,3.2857144,1.9000002,0.14233537
382,38.11436,8.756629,3.6666667,1.7873017,0.13424663
383,31.79206,9.894559,3.3333333,1.9833336,0.12779759
384,31.598846,9.382625,3.3333333,2,0.1224745
385,31.637434,9.00413,3.3333333,2,0.1224745
386,31.747849,8.515067,3.3333333,1.9777778,0.13818797
387,34.460606,6.513077,3.8,1.8057144,0.16873974
388,34.43765,6.0892754,3.8,1.8961906,0.12117283
389,47.355732,21.02693,5,1.6083332,0.2932287
390,46.788612,20.409245,5.25,1.7076921,0.2911662
391,46.708183,20.93247,5.25,1.7294872,0.2635903
392,101.878296,28.892704,5.5,1.7141666,0.31264842
393,102.00336,28.946663,5.5,1.65,0.32409117
394,102.13185,28.99597,5.5,1.63,0.29017368
395,106.64245,36.29748,5.5,1.6425,0.2959295
396,92.014084,28.94484,4.8,1.4473333,0.32150868
397,37.34441,18.05302,3.4285715,1.629762,0.1958365
398,37.01907,18.115866,3.4285715,1.632143,0.19486593
399,36.70986,18.209085,3.4285715,1.632143,0.19486593
400,34.516632,15.861771,3.2857144,1.5809524,0.16116388
401,35.932674,15.339447,3.4285715,1.6428572,0.20437911
402,35.813625,15.286294,3.4285715,1.6761905,0.18448934
403,30.335773,7.5949564,3.2857144,1.7020408,0.14035098
404,30.41664,7.8197217,3.2857144,1.7265307,0.12524125
405,31.026093,6.8965797,3.125,1.5416667,0.1388076
406,30.797205,6.933333,3.125,1.5773809,0.07659465
407,29.519325,8.092992,2.7777777,1.5592593,0.053013742
408,29.778673,8.195989,2.7777777,1.5444444,0.07396505
409,27.132364,6.4766183,2.75,1.5375,0.047855344
410,24.757027,4.5422597,2.625,1.4833333,0.06666667
411,25.978342,4.2630196,2.5555556,1.325926,0.07407408
412,27.094381,4.7398,2.6666667,1.3355556,0.059137873
413,25.975271,4.32849,2.5555556,1.2585186,0.033602096
414,26.359018,4.5174,2.5555556,1.2325926,0.043846145
415,26.951551,4.74915,2.5555556,1.2325926,0.043846145
416,27.693415,4.9592757,2.5555556,1.2325926,0.043846145
417,28.355343,5.199892,2.5555556,1.2325926,0.043846145
418,28.821747,6.360871,2.5555556,1.2177777,0.04805656
419,24.756,4.939849,2.3,1.2733333,0.07771237
420,22.1018,6.3763556,2.375,1.2249999,0.10606602
421,22.620394,6.568621,2.375,1.2249999,0.10606602
422,24.299866,6.190122,2.5,1.1875,0.13321069
423,25.084644,6.5151877,2.5,1.2375,0.083210684
424,27.146841,6.5202317,2.625,1.2375,0.07847397
425,27.583925,6.4845023,2.625,1.2666667,0.06694941
426,28.115868,6.518457,2.625,1.3583333,0.079312995
427,28.680824,6.5480595,2.625,1.3666668,0.06868869
428,29.298655,6.5760493,2.625,1.3666668,0.06868869
429,26.654297,3.924274,2.3333333,1.2925925,0.094389945
430,26.132328,4.4388685,2.375,1.2791667,0.056188684
431,27.215378,7.499429,2.5714285,1.3666668,0.112777725
432,27.041891,7.352868,2.5714285,1.395238,0.102634005
433,27.94432,6.212907,2.5,1.2666667,0.15132931
434,27.928213,5.995704,2.5,1.3166666,0.10132931
435,27.90606,5.813918,2.5,1.3166666,0.10132931
436,27.542015,4.1634192,2.5,1.3208334,0.11000428
437,26.289444,4.7937555,2.5714285,1.3761904,0.10922347
438,24.44098,5.584003,2.6666667,1.4388889,0.12742738
439,23.8697,5.597077,2.6666667,1.4388889,0.12742738
440,23.466766,5.629057,2.6666667,1.4388889,0.12742738
441,24.907434,4.855407,2.5714285,1.3190477,0.16636634
442,24.563932,4.8634996,2.5714285,1.3761904,0.10922347
443,24.44527,4.830581,2.5714285,1.3761904,0.10922347
444,24.167175,4.848939,2.5714285,1.3761904,0.10922347
445,44.27562,6.801954,3.3333333,1.3555555,0.15508574
446,44.66753,6.742668,3.3333333,1.388889,0.12075537
447,45.096294,6.666472,3.3333333,1.388889,0.12075537
448,45.622696,6.5822215,3.3333333,1.388889,0.12075537
449,46.25179,6.507736,3.3333333,1.388889,0.12075537
