 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, StdDev Mean Cluster Size, Mean SD Est, StdDev Mean SD Est, Mean acutal density
251,33.067184,5.8497896,2.6666667,Stddev_mean_size,1.1814815,0.16510381,0.2569872
252,32.75076,5.8186274,2.6666667,Stddev_mean_size,1.2037038,0.14897424,0.24282391
253,32.487354,5.7735147,2.6666667,Stddev_mean_size,1.1925926,0.16008537,0.23559634
254,31.967949,5.911768,2.5555556,Stddev_mean_size,1.1916667,0.12632614,0.24700035
255,31.70597,5.8385715,2.5555556,Stddev_mean_size,1.1833333,0.1280509,0.29378447
256,31.625454,5.754362,2.5555556,Stddev_mean_size,1.1833333,0.1280509,0.41263688
257,31.407024,6.385178,2.625,Stddev_mean_size,1.20625,0.14405726,0.58632904
258,37.144188,9.635714,3.142857,Stddev_mean_size,1.2857143,0.20197923,1.1502475
259,36.197247,6.158507,2.857143,Stddev_mean_size,1.1952381,0.1281627,3.7399037
260,40.021824,14.218508,2.5,Stddev_mean_size,1.0925,0.13467413,1.328944
261,43.637726,19.90369,2.7142856,Stddev_mean_size,1.1390476,0.18818967,0.6377822
262,42.997852,23.599268,3,Stddev_mean_size,1.237963,0.23542617,0.12972017
263,39.341167,20.330526,2.8333333,Stddev_mean_size,1.1833334,0.19558923,0.12253204
264,38.92653,20.152744,2.8333333,Stddev_mean_size,1.1833334,0.19558923,0.1187039
265,42.06354,25.607794,3.4,Stddev_mean_size,1.2333333,0.23152885,0.13780582
266,42.464684,25.080908,3.4,Stddev_mean_size,1.2416667,0.2314574,0.14170454
267,42.56771,24.583546,3.4,Stddev_mean_size,1.2416667,0.2314574,0.1461114
268,42.671272,24.087154,3.4,Stddev_mean_size,1.2416667,0.2314574,0.16359645
269,43.552116,25.07644,3.2,Stddev_mean_size,1.2304761,0.2256316,0.20428129
270,43.98451,24.675274,3.2,Stddev_mean_size,1.28,0.23092449,0.30350715
271,46.72397,30.479298,3.5,Stddev_mean_size,1.354762,0.29310998,0.09292069
272,32.68113,7.1813154,3,Stddev_mean_size,1.2733334,0.16942449,0.077767655
273,32.952442,5.888887,2.8333333,Stddev_mean_size,1.3111111,0.10249934,0.07262549
274,25.642242,3.9987357,2.4285715,Stddev_mean_size,1.297619,0.06738558,0.041611057
275,25.093521,3.9821467,2.4285715,Stddev_mean_size,1.297619,0.06738558,0.038793195
276,24.817259,3.94688,2.4285715,Stddev_mean_size,1.297619,0.06738558,0.03879078
277,24.439196,3.9025688,2.4285715,Stddev_mean_size,1.297619,0.06738558,0.039609905
278,24.169712,3.825644,2.4285715,Stddev_mean_size,1.297619,0.06738558,0.038375847
279,24.91685,6.5226502,2.6666667,Stddev_mean_size,1.4083333,0.117900215,0.04612528
280,24.507118,6.572225,2.6666667,Stddev_mean_size,1.4138889,0.12575696,0.044465717
281,24.07225,6.5316567,2.6666667,Stddev_mean_size,1.4138889,0.12575696,0.045221716
282,23.432251,6.4405327,2.6666667,Stddev_mean_size,1.4138889,0.12575696,0.047873843
283,22.844778,6.3298965,2.6666667,Stddev_mean_size,1.4138889,0.12575696,0.051224764
284,22.321642,6.22097,2.6666667,Stddev_mean_size,1.4138889,0.12575696,0.053741958
285,22.702682,6.0126,2.6666667,Stddev_mean_size,1.4777778,0.10837772,0.056763183
286,24.94515,8.389197,2.8333333,Stddev_mean_size,1.5,0.17754154,0.05911511
287,21.731993,4.8513947,2.6666667,Stddev_mean_size,1.5083332,0.08417205,0.06429256
288,21.963713,4.72776,2.6666667,Stddev_mean_size,1.5749999,0.058860075,0.061200697
289,22.160486,4.5269227,2.6666667,Stddev_mean_size,1.5888888,0.055555563,0.06025344
290,22.463654,4.39119,2.6666667,Stddev_mean_size,1.5888888,0.055555563,0.05884606
291,24.56074,3.708412,2.5714285,Stddev_mean_size,1.4904763,0.061904766,0.048027974
292,26.014048,3.3007088,2.5,Stddev_mean_size,1.375,0.10000001,0.5714557
293,25.749868,3.3879344,2.5,Stddev_mean_size,1.3270833,0.10062905,0.8550096
294,25.51357,3.4506392,2.5,Stddev_mean_size,1.3270833,0.10062905,3.9699528
295,25.473957,3.4929028,2.5,Stddev_mean_size,1.3270833,0.10062905,0.91708875
296,25.465109,3.639854,2.5,Stddev_mean_size,1.3270833,0.10062905,0.5316722
297,25.64922,3.8309326,2.5,Stddev_mean_size,1.3270833,0.10062905,0.35148835
298,26.528606,3.5242593,2.4444444,Stddev_mean_size,1.2796296,0.10055915,0.2270503
299,27.46494,4.5876412,2.5555556,Stddev_mean_size,1.2768519,0.15207094,0.20112666
300,25.760033,3.9604654,2.4444444,Stddev_mean_size,1.2796296,0.0890758,0.18443592
301,25.809431,4.036728,2.4444444,Stddev_mean_size,1.275926,0.08383797,0.18696986
302,25.9179,4.146574,2.4444444,Stddev_mean_size,1.275926,0.08383797,0.19428425
303,28.042135,5.680504,2.5555556,Stddev_mean_size,1.3055556,0.1257406,0.20358393
