 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, Mean SD Est, StdDev Mean SD Est,
364,31.019358,5.4646783,3,1.6575384,0.082003765,
365,31.628925,4.6533685,2.857143,1.60375,0.07735837,
366,31.842361,4.5441375,2.857143,1.6404364,0.061330516,
367,32.517185,5.6833487,3,1.6477381,0.04164315,
368,32.0229,5.471511,3,1.6024735,0.056544226,
369,30.957071,6.1774373,3.1666667,1.6317514,0.11658702,
370,30.056442,5.9581666,3.1666667,1.5923996,0.10198862,
371,30.69743,4.9411607,3,1.5077711,0.08741882,
372,30.203783,4.8471756,3,1.3604497,0.13463448,
373,43.03183,25.083248,3.142857,1.2140377,0.24054436,
374,43.066124,25.051315,3.142857,1.2106894,0.2388012,
375,41.911285,21.87703,3,1.1621094,0.19144253,
376,37.433357,14.703438,3.4285715,1.1750993,0.2122685,
377,36.92629,14.549178,3.4285715,1.1567459,0.19867112,
378,40.870243,24.062805,3.2857144,1.2292769,0.1920534,
379,37.241325,17.853922,3.4285715,1.2729276,0.17773648,
380,36.755756,18.085169,3.4285715,1.2848324,0.19457234,
381,36.485435,18.267084,3.4285715,1.2848324,0.19457234,
382,37.49271,9.40813,3.375,1.252257,0.2037747,
383,34.004578,9.698797,3,1.2808642,0.1965916,
384,39.642258,12.102115,3.375,1.2875,0.22456436,
385,39.167534,12.311123,3.375,1.2875,0.22552004,
386,39.231377,14.224127,3.5714285,1.3746032,0.2611994,
387,39.022404,14.374257,3.5714285,1.4952381,0.24407789,
388,38.895164,14.532907,3.5714285,1.5380952,0.20908518,
389,39.102726,14.688691,3.5714285,1.4928571,0.21514527,
390,39.221134,14.728197,3.5714285,1.4714286,0.19797577,
391,39.581303,14.723588,3.5714285,1.4714286,0.19797577,
392,37.27834,13.895507,3.4285715,1.4702381,0.2062962,
393,31.948208,10.452564,3,1.3732638,0.1686565,
394,32.36398,10.132526,3,1.3628472,0.1539251,
395,34.716175,12.299636,3.2857144,1.3984127,0.1947064,
396,31.531479,9.485005,3.142857,1.3809522,0.16493352,
397,31.767996,9.000485,3.142857,1.4246031,0.15289596,
398,31.518188,10.195776,3.3333333,1.525926,0.19035548,
399,31.746328,9.908622,3.3333333,1.525926,0.19035548,
400,31.8685,9.658364,3.3333333,1.525926,0.19035548,
401,32.099327,9.484366,3.3333333,1.3944445,0.2514316,
402,32.532967,9.562272,3.3333333,1.3777777,0.24393271,
403,32.94395,9.570411,3.3333333,1.4212962,0.26987976,
404,33.551228,9.87629,3.3333333,1.437037,0.27303812,
405,35.969967,9.633727,3.2857144,1.438492,0.1850519,
406,35.82138,9.703464,3.2857144,1.598611,0.1807705,
407,35.668755,9.703745,3.2857144,1.6539682,0.16162367,
408,35.651608,9.720828,3.2857144,1.6539682,0.16162367,
409,30.538406,8.006392,2.875,1.5868056,0.09414011,
410,30.50595,8.221391,2.875,1.521007,0.17500429,
411,30.518711,8.448742,2.875,1.5052083,0.16701154,
412,33.471962,8.6528635,3.125,1.534375,0.18431948,
413,33.518356,8.957705,3.125,1.4427084,0.2193028,
414,33.799366,9.249129,3.125,1.4427084,0.2193028,
415,34.29985,9.564258,3.125,1.4427084,0.2193028,
416,30.054329,6.476085,2.875,1.4722222,0.09564291,
417,27.407328,7.3883305,2.625,1.4270833,0.073656954,
418,28.86012,6.6115236,2.5555556,1.3703704,0.05237828,
419,28.618704,7.0768166,2.5555556,1.2685184,0.06547285,
420,29.921343,10.849725,2.75,1.2847222,0.12933443,
421,29.920639,10.736749,2.75,1.2743055,0.12132333,
422,30.313717,10.455284,2.75,1.2178819,0.19685373,
423,31.643024,9.493888,2.75,1.1961806,0.18338789,
424,31.62402,9.295288,2.75,1.1961806,0.18338789,
425,31.766064,9.097776,2.75,1.279514,0.1686565,
426,29.568062,6.6191635,2.625,1.279514,0.12446232,
427,28.373962,3.1890287,2.4444444,1.1712964,0.067855805,
428,28.286686,3.0574305,2.4444444,1.1712964,0.067855805,
429,28.318092,2.9529445,2.4444444,1.1712964,0.067855805,
430,28.36126,2.9195693,2.4444444,1.2453704,0.05476124,
431,27.498604,3.3722777,2.5,1.296875,0.046875,
432,27.634848,3.5686877,2.5,1.296875,0.046875,
433,27.990898,3.7749066,2.5,1.296875,0.046875,
434,27.500332,4.637195,2.5714285,1.3392857,0.05357143,
435,28.836428,4.443298,2.5,1.296875,0.046875,
436,29.351032,4.9044595,2.5,1.296875,0.046875,
437,29.794725,5.3718185,2.5,1.2135417,0.10580056,
438,30.517117,5.21144,2.4444444,1.1712962,0.067855805,
439,29.989826,6.6464977,2.5,1.1875,0.088388346,
440,28.54602,7.913162,2.5714285,1.2142857,0.10101525,
441,30.675884,9.283705,2.7142856,1.2261904,0.10305779,
